0.347932,0.303539
0.370555,0.304278
0.415187,0.570030
0.263311,0.454736
0.445318,0.711849
0.378736,0.675082
0.351545,0.651756
0.499647,0.135618
0.493348,0.717148
0.392502,0.300486
0.413343,0.293335
0.426590,0.289472
0.263037,0.250072
0.412587,0.291141
0.390575,0.298217
0.368641,0.301520
0.346320,0.300647
0.331289,0.297993
0.234063,0.246841
0.332702,0.300333
0.496413,0.481497
0.417684,0.492360
0.439086,0.438168
0.462578,0.483507
0.498786,0.264985
0.345887,0.627096
0.373889,0.652510
0.444124,0.699202
0.292941,0.582787
0.426637,0.287585
0.459358,0.343807
0.493544,0.704352
0.408903,0.696348
0.247340,0.464518
0.459659,0.570287
0.454223,0.580280
0.448810,0.593917
0.444593,0.608864
0.427237,0.624271
0.426611,0.547829
0.420668,0.545658
0.415526,0.542947
0.379694,0.527969
0.293592,0.468408
0.459270,0.319513
0.449367,0.268254
0.435824,0.272358
0.431572,0.549136
0.296004,0.527471
0.468906,0.267994
0.416287,0.639461
0.499101,0.349773
0.476897,0.330556
0.499027,0.325060
0.440923,0.382330
0.493761,0.684563
0.493942,0.661663
0.453125,0.657892
0.366496,0.587245
0.392950,0.449633
0.388335,0.615824
0.341944,0.447278
0.373230,0.475357
0.325525,0.487280
0.446580,0.679874
0.425541,0.396742
0.350013,0.603026
0.377864,0.631554
0.349655,0.554088
0.272849,0.496481
0.323782,0.556169
0.263242,0.514629
0.357512,0.508094
0.443190,0.360687
0.443618,0.429327
0.428356,0.436551
0.454813,0.412744
0.428465,0.244957
0.386891,0.230432
0.351068,0.228134
0.322154,0.233238
0.302768,0.244788
0.290749,0.289870
0.233228,0.358602
0.305598,0.328646
0.330257,0.336907
0.363495,0.336737
0.395951,0.329254
0.421556,0.318351
0.438699,0.309255
0.232536,0.358746
0.428479,0.443713
0.459071,0.365563
0.461613,0.430584
0.474535,0.443375
0.461307,0.434846
0.435000,0.451513
0.479107,0.445503
0.481174,0.451601
0.441320,0.287051
0.452210,0.294928
0.457726,0.301443
0.321756,0.295192
0.306042,0.269535
0.519459,0.353404
0.672122,0.291992
0.519456,0.446911
0.744686,0.196740
0.597679,0.306677
0.621756,0.310572
0.645278,0.311010
0.679363,0.297800
0.578144,0.299190
0.639709,0.240592
0.612128,0.243450
0.665098,0.243723
0.680773,0.253016
0.693194,0.310563
0.578457,0.656649
0.681144,0.287188
0.752213,0.303217
0.715758,0.287524
0.615723,0.415172
0.531206,0.508120
0.526793,0.532617
0.556860,0.519342
0.572153,0.531434
0.546004,0.536382
0.559989,0.541826
0.600126,0.578389
0.518239,0.433207
0.522024,0.409044
0.713097,0.220890
0.569494,0.353262
0.573992,0.427065
0.576171,0.414253
0.683219,0.412434
0.520959,0.378767
0.665957,0.196040
0.695368,0.203766
0.726803,0.151036
0.557949,0.216497
0.587599,0.253084
0.615883,0.550132
0.710059,0.528397
0.555051,0.441184
0.535370,0.449645
0.587587,0.554759
0.580759,0.554791
0.706684,0.186012
0.574099,0.438790
0.622589,0.197514
0.627480,0.177472
0.638029,0.089198
0.713508,0.172272
0.624898,0.135007
0.724132,0.208063
0.733327,0.209499
0.529972,0.521470
0.551845,0.528681
0.566697,0.536848
0.548999,0.446297
0.584111,0.554875
0.576829,0.567014
